title,channel_name,원곡명,아티스트
晩餐歌 (tuki.) ／ダズビー COVER,DAZBEE official,晩餐歌,tuki.
"Meeting is easy, parting is hard (Feat. Leellamarz) (Prod. TOIL)",Basick - Topic,"Meeting is easy, parting is hard",Basick
Cocktail Love,KyoungSeo - Topic,Cocktail Love,KyoungSeo
ずうっといっしょ！(キタニタツヤ) ／ダズビー COVER,DAZBEE official,ずうっといっしょ！,キタニタツヤ
널 너무 모르고 Don't Know You,Heize - Topic,널 너무 모르고,Heize
BLUE MOON (Prod. GroovyRoom) (BLUE MOON (PROD. GROOVYROOM)), HYOLYN - Topic,BLUE MOON,HYOLYN
Mawaru Sora Usagi,DAZBEE - Topic,Mawaru Sora Usagi,DAZBEE
c/2022YH (살별),Younha - Topic,살별,Younha
instagram,DEAN - Topic,instagram,DEAN
And July (Feat. DEAN & DJ Friz),Heize - Topic,And July,Heize
Joker (Feat. JAMIE) (Joker (Feat. JAMIE)),BIG Naughty - Topic,Joker,BIG Naughty
Rain Song (Feat. Colde),EPIK HIGH - Topic,Rain Song,EPIK HIGH
ヒロイン (back number) piano arrange ver.／ダズビー COVER,DAZBEE official,ヒロイン,back number
メルト (ryo ; supercell) ／ダズビー COVER,DAZBEE official,メルト,ryo
アイネクライネ (米津玄師) acoustic arrange ver.／ダズビー COVER,DAZBEE official,アイネクライネ,米津玄師
やっぱり雨は降るんだね,TUYU - Topic,やっぱり雨は降るんだね,TUYU
RESCUE,Woo Ye Rin - Topic,RESCUE,Woo Ye Rin
晴る (ヨルシカ ; 葬送のフリーレンOP) ／ダズビー COVER,DAZBEE official,晴る,ヨルシカ
We don't talk together (Feat. 기리보이) (Prod. SUGA),Heize - Topic,We don't talk together,Heize
Turbulence,UmYull - Topic,Turbulence,UmYull
くらべられっ子,TUYU - Topic,くらべられっ子,TUYU
good 4 u,Olivia Rodrigo - Topic,good 4 u,Olivia Rodrigo
Dance In Despair,UmYull - Topic,Dance In Despair,UmYull
피차일반 (彼此一般) (彼此一般),UmYull - Topic,피차일반,UmYull
Wa;volution (파도혁명),UmYull - Topic,파도혁명,UmYull
Villain,Ado - Topic,Villain,Ado
Seasonal Crime (Feat. Saebit),Miiro - Topic,Seasonal Crime,Miiro
LADY,Kenshi Yonezu - Topic,LADY,Kenshi Yonezu
Matasaburo,Yorushika - Topic,Matasaburo,Yorushika
NEO-LUDDITE,9Lana - Topic,NEO-LUDDITE,9Lana
悪食,PompadollS - Topic,悪食,PompadollS
propose,9Lana - Topic,propose,9Lana
隙,yuri - Topic,隙,yuri
Hakujitsu,King Gnu - Topic,Hakujitsu,King Gnu
Byoushinwo Kamu,ZUTOMAYO - Topic,Byoushinwo Kamu,ZUTOMAYO
Sakayume,King Gnu - Topic,Sakayume,King Gnu
Obenkyou Shitoiteyo,ZUTOMAYO - Topic,Obenkyou Shitoiteyo,ZUTOMAYO
あの世行きのバスに乗ってさらば。,TUYU - Topic,あの世行きのバスに乗ってさらば。,TUYU
Where Our Blue Is,Tatsuya Kitani - Topic,Where Our Blue Is,Tatsuya Kitani
One Voice,Rokudenashi - Topic,One Voice,Rokudenashi
Inferno,Mrs. GREEN APPLE - Topic,Inferno,Mrs. GREEN APPLE
Some Like It Hot!!,SPYAIR - Topic,Some Like It Hot!!,SPYAIR
Overdose,natori - Topic,Overdose,natori
Shutter,Yuuri - Topic,Shutter,Yuuri
三文小説 (King Gnu) / 藍璃かんな Cover,아이리 칸나 Music Official,三文小説,King Gnu
Dramaturgy,Eve - Topic,Dramaturgy,Eve
夜に駆ける,YOASOBI - Topic,夜に駆ける,YOASOBI
怪獣の花唄 (Vaundy) / 藍璃かんな Cover,아이리 칸나 Music Official,怪獣の花唄,Vaundy
春を告げる,yama - Topic,春を告げる,yama
ただ君に晴れ,Yorushika - Topic,ただ君に晴れ,Yorushika
Surges(Orangestar) / cover,이로은 ASMR,Surges,Orangestar
だから僕は音楽を辞めた (ヨルシカ) ／ダズビー COVER,DAZBEE official,だから僕は音楽を辞めた,ヨルシカ
ツユ - アンダーキッズ MV,ツユ,ツユ - アンダーキッズ,ツユ
星寂夜,Rokudenashi - Topic,星寂夜,Rokudenashi
Adios,DAZBEE - Topic,Adios,DAZBEE
Setting Sun,Yorushika - Topic,Setting Sun,Yorushika
Haiirotoao (+ Masaki Suda),Kenshi Yonezu - Topic,Haiirotoao,Kenshi Yonezu
【MV】隙/ゆーり【オリジナル】,ゆーり🍎🐥〔24〕・yuri,隙,ゆーり
